"Pennsylvania Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Industry",77.42575325633203,81.26543676492024,77.70739785414932,80.28182047413922,81.49433096078158,82.5081138305595,85.04070763195543,85.91919591754127,85.71219462214091,81.46583431705578,81.50943273552618,78.78580070947555,76.72106675948199,76.84576517522746,79.32367721900948,77.42467228557014,79.74341747298793,74.28783756261709,78.18216323421966,69.43893195017975,71.1917787279065,66.18322402137349,67.36496276286279,76.95812593484632,78.2718789680994,79.86474383435667,76.58924085598213,86.07831577542458,89.97683143096336,84.71470364720446,80.6937675989569,82.66168841490222,80.53346795609717
"Electric power industry",108.04921527091149,107.39116114545928,107.92058388215786,110.06535189104594,106.40518317308118,109.55852807614208,114.46102024881662,116.24362117701682,119.02266479654992,114.97967764001652,122.8524464402477,112.37203005801831,120.22452367436259,120.82681993736063,123.91194121335086,129.02209213594566,128.53524890211156,130.91340406647973,125.45535835103712,117.89935946158859,124.37143899422651,118.82012897466556,111.42167985971356,110.20185311225036,103.04927082096198,91.68505785922117,85.75478993681152,79.96686983038362,77.61042163852672,77.87409327136615,72.79754784933857,80.219947773246,76.95624065601095
"Transportation",60.19142176166849,59.29644573332158,61.47625443270856,63.29592652970938,64.33574271035704,65.7915237145805,66.38385288735864,68.1079479441122,69.65742934541456,71.63098541715122,73.60493068006637,73.06588820495078,73.1547501936996,73.45064367320546,73.39599233214685,73.97760618589001,72.77054483991216,72.13338954805104,69.1327970798655,67.25078278675062,67.54885894180994,67.10710947106286,65.04085740243517,64.3575232910072,65.19018606823101,63.32136113405349,62.62176291373324,63.52048778559496,62.812076600119276,63.38441070310804,54.64775658313121,59.49485803567998,58.75464911740676
"Residential",23.9194854501381,24.37424664653313,25.562858992150613,25.725794379458776,25.24959091636389,24.625020923510395,26.08882499612414,24.580921131080263,20.870763667947333,23.00315460916623,25.32712138670258,24.582580706014642,23.505016604459087,26.233348086768412,25.45453583320188,23.705962566872483,20.624566739653222,21.937772539487835,24.177082637745258,20.339395232155564,20.958406161159797,20.52401063553597,17.788824824946396,20.725936538135542,23.27979871747371,21.480344242575658,19.01613616735809,18.80818702305099,22.438887081842275,20.72025084873071,19.017974037414874,20.263408599731193,21.616045111442588
"Commercial",26.474745192190795,26.503994194235048,26.856969837960467,25.941971038661027,28.10405390232174,27.17758070058626,28.663071165024768,27.24434580489395,24.95984298065852,25.315431663793373,24.66952590124166,24.545035618786052,24.200379054366344,24.9083317021756,24.165668016415495,23.733818853556457,22.33576847943105,22.84427774091513,21.512619893925553,20.982491172666503,17.97739492232122,17.230081787898968,15.868650890538403,17.367694945836362,17.565104454014453,17.83633268356898,16.906160667759814,17.032856412368933,17.805433113735095,17.913858605814955,16.753512583132235,16.978375318802552,17.85052888781401
"Agriculture",9.298172252258503,8.953929358980275,9.356751414349944,9.0724568850151,8.923310478963973,8.787409814310697,8.913580602523467,8.359502293026576,8.549591121519896,8.791870264735314,8.652317349780388,8.847855078437782,9.165092195513909,8.768874338980716,8.984114269707383,8.670293036272856,9.627045790561366,9.171429084514608,8.863423916587244,9.027327104105634,9.822503572799764,9.924668788908136,9.875863654855735,9.808305174074713,10.163998216317436,9.632502003856457,9.814277280179647,9.958195129097026,10.23845494867407,9.799527660187863,9.355369764075402,9.088885619271453,8.744376620302388
"Gross total",305.3587931834994,307.7852138434496,308.8808164134768,314.3833211980294,314.51221214186944,318.44817705968944,329.55105753180305,330.4555342676711,328.7724865342312,325.1869539119185,336.6157744935649,322.19919037568314,326.97082848188353,331.03378291371826,335.23592888383195,336.5344450641076,333.63659222465725,331.2881105420654,327.32344511338033,304.93828770744665,311.8703813202237,299.789223679445,287.360839395352,299.41943899615046,297.52023724509803,283.82034175763243,270.70236782182445,275.3649119559201,280.8821048138608,274.40684473641215,253.2659284160492,268.7071637616334,264.4553083490739
